subtechnique_id,sub-technique of,relationship
T1564.012,T1564,sub-technique
T1564.005,T1564,sub-technique
T1564.001,T1564,sub-technique
T1564.002,T1564,sub-technique
T1564.003,T1564,sub-technique
T1564.011,T1564,sub-technique
T1564.004,T1564,sub-technique
T1564.010,T1564,sub-technique
T1564.009,T1564,sub-technique
T1564.006,T1564,sub-technique
T1564.007,T1564,sub-technique
T1574.014,T1574,sub-technique
T1574.012,T1574,sub-technique
T1574.001,T1574,sub-technique
T1574.002,T1574,sub-technique
T1574.004,T1574,sub-technique
T1574.006,T1574,sub-technique
T1574.005,T1574,sub-technique
T1574.013,T1574,sub-technique
T1574.007,T1574,sub-technique
T1574.008,T1574,sub-technique
T1574.009,T1574,sub-technique
T1574.010,T1574,sub-technique
T1574.011,T1574,sub-technique
T1562.002,T1562,sub-technique
T1562.007,T1562,sub-technique
T1562.008,T1562,sub-technique
T1562.012,T1562,sub-technique
T1562.004,T1562,sub-technique
T1562.001,T1562,sub-technique
T1562.010,T1562,sub-technique
T1562.003,T1562,sub-technique
T1562.006,T1562,sub-technique
T1562.009,T1562,sub-technique
T1562.011,T1562,sub-technique
T1070.003,T1070,sub-technique
T1070.002,T1070,sub-technique
T1070.008,T1070,sub-technique
T1070.007,T1070,sub-technique
T1070.009,T1070,sub-technique
T1070.001,T1070,sub-technique
T1070.004,T1070,sub-technique
T1070.005,T1070,sub-technique
T1070.010,T1070,sub-technique
T1070.006,T1070,sub-technique
T1056.004,T1056,sub-technique
T1056.002,T1056,sub-technique
T1056.001,T1056,sub-technique
T1056.003,T1056,sub-technique
T1559.001,T1559,sub-technique
T1559.002,T1559,sub-technique
T1559.003,T1559,sub-technique
T1036.009,T1036,sub-technique
T1036.007,T1036,sub-technique
T1036.001,T1036,sub-technique
T1036.010,T1036,sub-technique
T1036.008,T1036,sub-technique
T1036.004,T1036,sub-technique
T1036.005,T1036,sub-technique
T1036.003,T1036,sub-technique
T1036.002,T1036,sub-technique
T1036.006,T1036,sub-technique
T1556.009,T1556,sub-technique
T1556.001,T1556,sub-technique
T1556.007,T1556,sub-technique
T1556.006,T1556,sub-technique
T1556.004,T1556,sub-technique
T1556.008,T1556,sub-technique
T1556.002,T1556,sub-technique
T1556.003,T1556,sub-technique
T1556.005,T1556,sub-technique
T1578.002,T1578,sub-technique
T1578.001,T1578,sub-technique
T1578.003,T1578,sub-technique
T1578.005,T1578,sub-technique
T1578.004,T1578,sub-technique
T1601.002,T1601,sub-technique
T1601.001,T1601,sub-technique
T1599.001,T1599,sub-technique
T1498.001,T1498,sub-technique
T1498.002,T1498,sub-technique
T1003.008,T1003,sub-technique
T1003.005,T1003,sub-technique
T1003.006,T1003,sub-technique
T1003.004,T1003,sub-technique
T1003.001,T1003,sub-technique
T1003.003,T1003,sub-technique
T1003.007,T1003,sub-technique
T1003.002,T1003,sub-technique
T1027.001,T1027,sub-technique
T1027.010,T1027,sub-technique
T1027.004,T1027,sub-technique
T1027.007,T1027,sub-technique
T1027.009,T1027,sub-technique
T1027.013,T1027,sub-technique
T1027.011,T1027,sub-technique
T1027.006,T1027,sub-technique
T1027.005,T1027,sub-technique
T1027.012,T1027,sub-technique
T1027.014,T1027,sub-technique
T1027.002,T1027,sub-technique
T1027.003,T1027,sub-technique
T1027.008,T1027,sub-technique
T1588.007,T1588,sub-technique
T1588.003,T1588,sub-technique
T1588.004,T1588,sub-technique
T1588.005,T1588,sub-technique
T1588.001,T1588,sub-technique
T1588.002,T1588,sub-technique
T1588.006,T1588,sub-technique
T1137.006,T1137,sub-technique
T1137.001,T1137,sub-technique
T1137.002,T1137,sub-technique
T1137.003,T1137,sub-technique
T1137.004,T1137,sub-technique
T1137.005,T1137,sub-technique
T1069.003,T1069,sub-technique
T1069.002,T1069,sub-technique
T1069.001,T1069,sub-technique
T1598.002,T1598,sub-technique
T1598.003,T1598,sub-technique
T1598.001,T1598,sub-technique
T1598.004,T1598,sub-technique
T1566.001,T1566,sub-technique
T1566.002,T1566,sub-technique
T1566.004,T1566,sub-technique
T1566.003,T1566,sub-technique
T1542.003,T1542,sub-technique
T1542.002,T1542,sub-technique
T1542.004,T1542,sub-technique
T1542.001,T1542,sub-technique
T1542.005,T1542,sub-technique
T1055.004,T1055,sub-technique
T1055.001,T1055,sub-technique
T1055.011,T1055,sub-technique
T1055.015,T1055,sub-technique
T1055.002,T1055,sub-technique
T1055.009,T1055,sub-technique
T1055.013,T1055,sub-technique
T1055.012,T1055,sub-technique
T1055.008,T1055,sub-technique
T1055.003,T1055,sub-technique
T1055.005,T1055,sub-technique
T1055.014,T1055,sub-technique
T1090.004,T1090,sub-technique
T1090.002,T1090,sub-technique
T1090.001,T1090,sub-technique
T1090.003,T1090,sub-technique
T1563.002,T1563,sub-technique
T1563.001,T1563,sub-technique
T1021.007,T1021,sub-technique
T1021.008,T1021,sub-technique
T1021.003,T1021,sub-technique
T1021.001,T1021,sub-technique
T1021.002,T1021,sub-technique
T1021.004,T1021,sub-technique
T1021.005,T1021,sub-technique
T1021.006,T1021,sub-technique
T1496.002,T1496,sub-technique
T1496.004,T1496,sub-technique
T1496.001,T1496,sub-technique
T1496.003,T1496,sub-technique
T1053.002,T1053,sub-technique
T1053.007,T1053,sub-technique
T1053.003,T1053,sub-technique
T1053.005,T1053,sub-technique
T1053.006,T1053,sub-technique
T1597.002,T1597,sub-technique
T1597.001,T1597,sub-technique
T1596.004,T1596,sub-technique
T1596.001,T1596,sub-technique
T1596.003,T1596,sub-technique
T1596.005,T1596,sub-technique
T1596.002,T1596,sub-technique
T1593.003,T1593,sub-technique
T1593.002,T1593,sub-technique
T1593.001,T1593,sub-technique
T1505.004,T1505,sub-technique
T1505.001,T1505,sub-technique
T1505.005,T1505,sub-technique
T1505.002,T1505,sub-technique
T1505.003,T1505,sub-technique
T1518.001,T1518,sub-technique
T1608.004,T1608,sub-technique
T1608.003,T1608,sub-technique
T1608.005,T1608,sub-technique
T1608.006,T1608,sub-technique
T1608.001,T1608,sub-technique
T1608.002,T1608,sub-technique
T1558.004,T1558,sub-technique
T1558.005,T1558,sub-technique
T1558.001,T1558,sub-technique
T1558.003,T1558,sub-technique
T1558.002,T1558,sub-technique
T1553.002,T1553,sub-technique
T1553.006,T1553,sub-technique
T1553.001,T1553,sub-technique
T1553.004,T1553,sub-technique
T1553.005,T1553,sub-technique
T1553.003,T1553,sub-technique
T1195.003,T1195,sub-technique
T1195.001,T1195,sub-technique
T1195.002,T1195,sub-technique
T1218.003,T1218,sub-technique
T1218.001,T1218,sub-technique
T1218.002,T1218,sub-technique
T1218.015,T1218,sub-technique
T1218.004,T1218,sub-technique
T1218.014,T1218,sub-technique
T1218.013,T1218,sub-technique
T1218.005,T1218,sub-technique
T1218.007,T1218,sub-technique
T1218.008,T1218,sub-technique
T1218.009,T1218,sub-technique
T1218.010,T1218,sub-technique
T1218.011,T1218,sub-technique
T1218.012,T1218,sub-technique
T1614.001,T1614,sub-technique
T1016.001,T1016,sub-technique
T1016.002,T1016,sub-technique
T1216.001,T1216,sub-technique
T1216.002,T1216,sub-technique
T1569.001,T1569,sub-technique
T1569.002,T1569,sub-technique
T1205.001,T1205,sub-technique
T1205.002,T1205,sub-technique
T1127.002,T1127,sub-technique
T1127.001,T1127,sub-technique
T1552.003,T1552,sub-technique
T1552.008,T1552,sub-technique
T1552.005,T1552,sub-technique
T1552.007,T1552,sub-technique
T1552.001,T1552,sub-technique
T1552.002,T1552,sub-technique
T1552.006,T1552,sub-technique
T1552.004,T1552,sub-technique
T1550.001,T1550,sub-technique
T1550.002,T1550,sub-technique
T1550.003,T1550,sub-technique
T1550.004,T1550,sub-technique
T1204.002,T1204,sub-technique
T1204.003,T1204,sub-technique
T1204.001,T1204,sub-technique
T1078.004,T1078,sub-technique
T1078.001,T1078,sub-technique
T1078.002,T1078,sub-technique
T1078.003,T1078,sub-technique
T1497.001,T1497,sub-technique
T1497.003,T1497,sub-technique
T1497.002,T1497,sub-technique
T1600.002,T1600,sub-technique
T1600.001,T1600,sub-technique
T1102.002,T1102,sub-technique
T1102.001,T1102,sub-technique
T1102.003,T1102,sub-technique
